xcoord,ycoord,ID_GRID,L15_KOTLY,L15_PIECE,L15_KOMINK,L15_SUMA_P,L16_KOTLY,L16_PIECE,L16_KOMINK,L16_SUMA_P,L17_KOTLY,L17_PIECE,L17_KOMINK,L17_SUMA_P,INW_DWD
19.98753603226,49.9760435990052,3344,5,0,0,5,5,0,0,5,5,0,0,5,2015-02-27
19.9889300122989,49.9760557567748,3345,1,0,0,1,1,0,0,1,1,0,0,1,2015-02-27
19.998687899104,49.9761403922523,3352,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
20.000081886708,49.9761524160473,3353,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8620606821936,49.9757797666122,3564,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8634545973107,49.9757934319024,3565,1,0,0,1,0,0,0,0,0,0,0,0,2016-12-31
19.8648485134959,49.9758070804479,3566,0,0,2,2,0,0,2,2,0,0,2,2,2015-02-27
19.8662424307478,49.9758207122487,3567,0,0,2,2,0,0,2,2,0,0,2,2,2015-02-27
19.874605956588,49.9759021514141,3573,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8759998812707,49.9759156660014,3574,2,0,3,5,2,0,3,5,2,0,3,5,2015-02-27
19.8773938070096,49.9759291638438,3575,0,0,3,3,0,0,3,3,0,0,3,3,2015-02-27
19.8787877338035,49.9759426449413,3576,2,0,2,4,1,0,2,3,1,0,2,3,2016-12-31
19.8801816616511,49.9759561092939,3577,5,0,0,5,4,0,0,4,4,0,0,4,2016-12-31
19.8815755905511,49.9759695569014,3578,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9401215373121,49.9765192352879,3620,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9415155102261,49.9765319628323,3621,2,0,0,2,2,0,0,2,1,0,0,1,2017-07-31
19.942909484135,49.9765446736304,3622,1,0,0,1,0,0,0,0,0,0,0,0,2016-12-31
19.9443034590373,49.9765573676822,3623,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9456974349318,49.9765700449877,3624,2,0,1,3,1,0,1,2,0,0,1,1,2017-07-31
19.9470914118172,49.9765827055467,3625,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9484853896921,49.9765953493593,3626,2,0,1,3,2,0,1,3,1,0,1,2,2017-04-30
19.9498793685552,49.9766079764255,3627,2,0,1,3,2,0,1,3,2,0,1,3,2015-02-27
19.9512733484053,49.9766205867453,3628,2,0,1,3,1,0,1,2,1,0,1,2,2016-12-31
19.9526673292411,49.9766331803185,3629,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8731910374704,49.9767875645266,3831,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.8745849870551,49.9768010962871,3832,0,0,1,1,0,0,1,1,0,0,1,1,2015-02-27
19.8759789376975,49.9768146113022,3833,0,0,1,1,0,0,1,1,0,0,1,1,2015-02-27
19.8773728893962,49.9768281095719,3834,1,0,3,4,1,0,3,4,1,0,3,4,2015-02-27
19.87876684215,49.976841591096,3835,1,0,1,2,1,0,1,2,1,0,1,2,2015-02-27
19.8801607959576,49.9768550558747,3836,1,0,0,1,0,0,0,0,0,0,0,0,2016-12-31
19.8815547508176,49.9768685039079,3837,2,0,0,2,0,0,0,0,0,0,0,0,2016-12-31
19.8829487067287,49.9768819351955,3838,2,0,0,2,1,0,0,1,1,0,0,1,2016-12-31
19.9401017879605,49.9774181996927,3879,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9414957868375,49.97743092764,3880,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9428897867093,49.9774436388404,3881,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-27
19.9442837875747,49.977456333294,3882,4,0,0,4,2,0,0,2,2,0,0,2,2016-12-31
19.9456777894323,49.9774690110007,3883,2,1,0,3,1,1,0,2,1,1,0,2,2016-12-31
